comment	sentiment	label
Thật tuyệt vời ạ	Khen	1
Admin có thể chia sẻ chuyên sâu cho em về chuyên nghành Điện Tử Viễn Thông trường mình được không ạ, em đang tìm hiểu và hướng đến nghành này	Hỏi	2
Tuyệt quá , ngành mình thực sự rất chất lượng ạ	Khen	1
Cơ hội việc làm sau khi tốt nghiệp rất cao	Khen	1
Hiện em đang tìm hiểu về ngành điện tử viễn thông và em đang thắc mắc không biết ngành này được đào tạo trong bao nhiêu năm, môi trường đào tạo thế nào ạ	Hỏi	2
"Em muốn tìm hiểu thêm về ngành điện tử viễn thông ?
Vào học những gì và khi ra trường thì công việc của mình là gì a?"	Hỏi	2
Năm nay em đang học lớp 12 . Em đang tính sẽ học vào chuyên ngành điện tử viễn thông . Vậy thầy cô cho em hỏi là ngành mình học bao nhiêu năm và ra trường làm được những công việc gì ạ	Hỏi	2
Hiện em đang muốn vào ngành điện tử viễn thông nhưng em không biết là ngành mình học bao nhiêu tín chỉ và học trong vòng mấy năm? Thầy cô các thể giúp em được không ạ .	Hỏi	2
Năm nay em đăng học lớp 12 và có tìm hiểu về trường và khá yêu thích ngành điện tử viễn thông em có một số thắc mắc ngành mình ct đào tạo bn năm , học có được đi thực tập thực tế nhiều không và học xong có được định hướng công việc và công ty sau khi tốt nghiệp kh ạ.	Hỏi	2
Mình tham khảo được chỉ phí học tập tại đây khá rẻ và đây là ngành hot trong tương lai nên mình sẽ xem xét nộp hồ sơ vào ngành này	Khen	1
Bài viết rất ý nghĩa ạ, đã giúp e giải đáp được những thắc mắc	Khen	1
Thầy cô vui tính, thân thiện,nhiệt huyết với sinh viên	Khen	1
Tôi đang theo học ngành Điện tử viễn thông – Khoa điện tử tại trường Đại học Kỹ thuật Công nghiệp Thái Nguyên, trong thời gian được học tập và rèn luyện tại đây tôi cảm thấy đây là một môi trường đào tạo chuyên nghiệp, rèn luyện được nhiều kĩ năng vào cuộc sống, trau dồi được nhiều kiến thức cho bản thân…	Khen	1
Bài viết rất hay và ý nghĩa ạ	Khen	1
Bài viết rất hay và ý nghĩa em cảm ơn tất cả các thấy cô giáo đã cùng chúng em trong nhưng năm tháng quá.	Khen	1
Bài viết chung chung quá không rõ dàng chỗ làm việc là công ty nào, sau này đi làm được bao nhiêu tiền, cần viết rõ dàng hơn	Chê	3
giáo viên giảng dạy chuyên môn không cao, khó gần	Chê	3
Bài giảng giáo viên dạy trên lớp đã cũ quá rồi, các thầy cô không có chuyên môn cao	Chê	3
Lớp học thì được có vài bạn, học thấy không có động lực	Chê	3
Thầy dày suốt ngày cho nghỉ và bắt đọc tài liệu, tóm lại là chán	Chê	3
Học phí qua cao so với những gì được học	Chê	3
Mình ra trường mấy năm rồi mà chưa xin được việc	Chê	3
nghề này lương rất thấp đừng có vào học	Chê	3
