mssv;lop;cao;nang;gender
K185480106001;K54KMT.01;165;50;1
K185480106002;K54KMT.01;161;47;1
K185480106004;K54KMT.01;158;51;0
K185480106034;K54KMT.01;171;61;1
K185480106035;K54KMT.01;156;48;0
K185480106033;K54KMT.01;168;58;1
K185480106005;K54KMT.01;185;62;0
K185480106007;K54KMT.01;172;60;1
K185480106008;K54KMT.01;170;80;1
K185480106006;K54KMT.01;163;57;0
K185480106036;K54KMT.01;174;58;1
K185480106009;K54KMT.01;164;47;0
K185480106010;K54KMT.01;160;52;1
K185480106044;K54KMT.01;160;44;1
K185480106037;K54KMT.01;170;62;1
K185480106012;K54KMT.01;125;69.95;0
K185480106038;K54KMT.01;148;80;1
K185480106016;K54KMT.01;158;45;0
K185480106014;K54KMT.01;160;45;1
K185480106015;K54KMT.01;190;60;0
K185480106039;K54KMT.01;165;56;1
K185480106018;K54KMT.01;175;57;1
K185480106019;K54KMT.01;172;55;1
K185480106023;K54KMT.01;170;52;1
K185480106043;K54KMT.01;180;80;0
K185480106022;K54KMT.01;178;61;1
K185480106041;K54KMT.01;168;55;1
K185480106024;K54KMT.01;167;70;1
K185480106029;K54KMT.01;190;65;1
K185520103229;K54KMT.01;170;73;1
K185520201027;K54KMT.01;163;48;1
K185480106048;K54KMT.01;169;65;1
K185520216125;K54KMT.01;160;65;1
